Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
CZR,S&P 500,9.95B,-1020.00M,10.07B,17.69,-,-,-,23000,Yes,Yes,2.00,-,22.46,-,0.99,2.54,-,53.47,1.00,1.00,6.95,6.93,11.30%,-4.79,2.00,0.17,64.90%,171.40%,27.50%,-61.60%,60.70%,27.90%,-4.90%,Aug 02 AMC,1.99%,0.40%,5.06%,97.50%,0.24%,-3.30%,-27.90%,4.90%,44.60%,9.90%,-12.70%,-,-39.95%,214.00M,204.86M,5.71%,2.80,82.43,35.10 - 119.81,-62.53%,27.89%,55.64,0.66,4.17M,"2,746,082",1.84%,4.47%,-30.02%,-40.42%,-51.40%,-52.00%,2.81,2.70,5.21% 6.11%,43.87,44.89,2.33%
D,S&P 500,64.79B,2.28B,14.37B,31.75,0.56,2.67,3.28%,17100,Yes,Yes,2.30,29.12,18.56,4.46,4.51,2.56,145.92,-,0.60,0.80,1.62,1.42,3.18%,2.79,4.38,0.76,87.70%,6.41%,6.53%,-1.60%,3.50%,10.60%,-33.20%,Aug 08 BMO,1.91%,0.10%,-0.38%,70.70%,-0.05%,2.90%,11.70%,3.90%,99.50%,21.70%,20.30%,71.10%,2.33%,810.60M,810.12M,0.90%,2.04,87.81,70.37 - 88.78,-8.40%,15.56%,60.94,0.80,3.56M,"2,844,920",7.06%,3.55%,-2.47%,4.98%,7.37%,3.51%,0.40,1.48,1.77% 1.88%,79.20,81.32,2.68%
DAL,S&P 500,20.72B,599.00M,41.80B,5.97,16.48,-,-,83000,Yes,Yes,1.80,34.46,5.71,2.59,0.50,5.31,1.92,6.69,0.60,0.70,6.52,6.01,3.85%,0.92,5.55,1.60,102.20%,100.25%,13.31%,-39.90%,-5.40%,94.00%,12.90%,Jul 13 BMO,-6.24%,0.30%,-3.34%,66.10%,-0.33%,0.80%,18.00%,4.70%,42.10%,6.90%,1.40%,0.00%,-16.86%,638.00M,635.57M,3.51%,1.54,48.03,28.09 - 46.27,-31.49%,12.83%,50.21,0.73,14.46M,"10,622,605",-0.81%,4.52%,-26.47%,-18.21%,-23.24%,-18.88%,1.22,1.28,3.02% 3.59%,31.50,31.70,0.63%
DD,S&P 500,30.83B,1.43B,15.95B,51.13,-,1.32,2.20%,28000,Yes,Yes,2.20,22.01,15.17,1.60,1.93,1.18,-,24.77,2.40,2.80,0.42,0.41,7.45%,2.73,3.96,0.75,197.50%,19.12%,13.73%,-21.20%,-19.10%,8.50%,-34.50%,Aug 02 BMO,-0.23%,0.10%,0.00%,74.60%,-0.13%,3.40%,5.90%,5.90%,34.80%,14.50%,9.80%,41.00%,-15.91%,512.00M,508.10M,1.33%,2.19,79.06,52.56 - 85.16,-29.39%,14.39%,59.66,0.62,3.08M,"1,919,175",4.14%,4.88%,-9.16%,-21.64%,-19.02%,-25.56%,1.44,1.63,2.42% 2.67%,59.43,60.13,1.18%
DE,S&P 500,102.75B,5.95B,45.44B,61.74,12.52,4.52,1.36%,75550,Yes,Yes,2.20,17.30,12.92,1.38,2.26,5.37,26.49,49.04,-,-,2.58,1.72,8.79%,19.17,25.68,6.65,118.60%,10.01%,12.50%,31.60%,10.50%,8.20%,19.90%,May 20 BMO,1.56%,0.10%,-19.36%,80.80%,0.15%,7.20%,33.60%,10.20%,32.20%,17.60%,13.10%,20.20%,-8.27%,306.20M,305.20M,0.92%,1.58,387.14,283.81 - 446.76,-25.77%,16.85%,60.22,0.73,1.78M,"1,291,176",4.77%,7.27%,-13.98%,-10.91%,-6.20%,-3.28%,1.08,10.18,3.04% 2.85%,325.71,331.63,1.82%
DFS,S&P 500,27.36B,4.43B,11.07B,43.43,-,2.40,2.41%,16700,Yes,Yes,2.20,6.47,6.94,-,2.47,2.29,-,5.20,-,-,1.38,1.17,-0.93%,15.38,14.32,3.78,396.00%,-7.37%,-,25.40%,4.30%,3.40%,-16.00%,Jul 20 AMC,-2.51%,0.60%,-0.83%,85.50%,-0.33%,4.90%,43.60%,23.60%,-,84.00%,48.40%,10.60%,-11.75%,285.00M,279.27M,1.51%,2.03,122.67,88.02 - 135.69,-26.69%,13.02%,47.09,0.70,2.08M,"1,448,923",-0.52%,2.23%,-7.04%,-15.13%,-19.33%,-13.91%,1.47,3.63,2.59% 3.12%,100.29,99.48,-0.81%
DG,S&P 500,55.45B,2.27B,34.57B,26.09,1.48,2.20,0.90%,163000,Yes,Yes,2.10,25.14,19.48,2.27,1.60,9.40,165.24,49.49,0.10,1.00,0.81,0.66,-1.04%,9.75,12.59,2.92,-4.20%,9.30%,11.07%,18.10%,9.30%,4.20%,-14.70%,May 26 BMO,4.55%,0.30%,-4.34%,97.20%,-0.12%,8.70%,37.10%,24.50%,31.20%,8.80%,6.60%,18.40%,8.98%,228.48M,226.27M,1.81%,2.02,254.61,183.25 - 262.20,-6.50%,33.78%,51.90,0.73,2.03M,"1,472,065",-0.72%,0.64%,0.68%,19.75%,6.56%,3.95%,0.41,5.38,1.80% 2.09%,244.45,245.15,0.29%
DGX,S&P 500,16.30B,1.48B,10.58B,53.59,5.90,2.64,1.95%,40000,Yes,Yes,2.50,11.25,15.94,-,1.54,2.52,22.90,12.60,1.30,1.50,0.63,0.62,0.51%,12.02,8.48,2.13,48.20%,-11.41%,-14.72%,28.00%,7.50%,-4.00%,-15.60%,Jul 21 BMO,-0.38%,0.70%,-33.79%,95.50%,0.98%,14.90%,31.70%,16.90%,37.70%,22.50%,18.80%,15.20%,-4.78%,119.00M,116.95M,3.98%,4.99,145.93,125.33 - 174.16,-22.38%,7.86%,51.62,0.81,931.64K,"753,079",0.41%,-0.94%,-1.67%,-0.16%,-3.42%,-21.87%,1.01,3.51,2.89% 2.52%,134.30,135.18,0.66%
DHI,S&P 500,27.01B,5.56B,31.95B,47.51,4.82,0.90,1.15%,11788,Yes,Yes,2.00,5.03,5.37,0.42,0.85,1.65,16.23,129.99,-,-,0.33,0.24,7.12%,15.57,14.60,5.33,78.00%,-14.54%,11.98%,37.00%,18.00%,24.10%,59.30%,Jul 21 BMO,10.74%,0.40%,-0.90%,82.90%,0.07%,18.60%,29.60%,20.60%,31.50%,18.20%,14.20%,6.50%,-6.37%,353.10M,315.07M,4.29%,3.43,95.26,59.25 - 110.45,-29.10%,32.17%,64.61,0.75,3.95M,"2,968,760",3.27%,18.87%,11.73%,-8.78%,-14.22%,-27.79%,1.60,2.88,3.81% 3.82%,77.85,78.31,0.59%
DHR,S&P 500,214.27B,6.21B,30.82B,61.82,5.37,1.00,0.35%,78000,Yes,Yes,1.90,34.03,26.67,3.26,6.95,4.68,53.78,34.24,1.30,1.80,0.45,0.45,10.69%,8.49,10.84,2.28,73.90%,3.54%,10.45%,22.50%,11.80%,7.40%,-1.20%,Jul 21 BMO,12.65%,0.30%,-2.12%,80.60%,0.25%,7.50%,14.60%,9.60%,60.80%,25.10%,20.10%,10.20%,2.46%,726.70M,646.15M,0.71%,1.83,324.08,233.71 - 333.96,-13.46%,23.66%,68.39,0.98,2.52M,"2,477,784",3.50%,14.74%,14.56%,8.34%,-1.32%,-12.16%,0.85,8.06,2.43% 2.68%,280.05,289.01,3.20%
DIS,DJIA S&P500,193.79B,2.71B,76.62B,49.75,7.18,-,-,190000,Yes,Yes,2.00,70.93,19.16,1.78,2.53,2.11,14.60,124.94,1.00,1.10,0.57,0.51,7.51%,1.48,5.47,0.98,170.70%,38.22%,39.80%,-28.00%,3.90%,23.30%,-48.40%,Aug 10 AMC,4.66%,0.14%,-0.01%,64.90%,-0.05%,1.30%,3.00%,2.20%,33.80%,7.40%,3.50%,0.00%,-21.97%,1.82B,1.82B,1.15%,1.65,145.00,90.23 - 187.58,-44.08%,16.26%,61.15,0.63,12.62M,"7,938,735",0.69%,9.36%,-8.95%,-21.48%,-41.43%,-32.27%,1.25,2.86,2.36% 2.60%,103.50,104.90,1.35%
DISH,S&P 500,9.67B,2.21B,17.71B,30.20,6.04,-,-,14500,Yes,Yes,2.20,5.19,11.81,-,0.55,0.60,2.99,5.06,0.60,0.70,1.34,1.12,-0.24%,3.48,1.53,0.64,25.60%,-38.20%,-,3.80%,3.30%,-3.70%,-31.60%,May 06 BMO,-5.98%,9.50%,2.53%,85.30%,-0.46%,5.00%,14.60%,6.60%,33.60%,16.30%,12.50%,0.00%,-38.85%,529.07M,225.38M,12.60%,6.01,40.14,16.20 - 46.31,-61.02%,11.39%,46.05,0.52,4.73M,"2,480,485",-4.55%,-0.44%,-40.94%,-41.15%,-57.42%,-44.36%,1.94,0.85,3.87% 4.42%,18.48,18.05,-2.33%
DLR,S&P 500,38.27B,1.37B,4.46B,59.63,0.57,4.88,3.56%,3030,Yes,Yes,2.20,28.40,84.73,1.16,8.57,2.30,242.22,-,-,-,0.85,0.85,8.68%,4.82,1.62,0.29,491.90%,38.47%,24.38%,21.90%,15.60%,3.40%,-83.20%,Jul 28 AMC,5.24%,0.10%,-20.60%,97.90%,0.15%,3.80%,8.10%,2.00%,61.80%,13.20%,30.70%,95.90%,-6.13%,284.53M,284.36M,3.27%,5.90,157.89,119.62 - 178.22,-23.17%,14.47%,65.53,1.41,1.57M,"2,215,995",9.46%,1.76%,-7.63%,-7.31%,-11.18%,-22.58%,0.31,3.70,2.90% 2.71%,129.21,136.93,5.97%
DLTR,S&P 500,36.61B,1.49B,26.74B,36.58,5.44,-,-,61886,Yes,Yes,2.40,24.96,17.42,1.51,1.37,4.47,30.04,25.97,0.30,1.50,0.00,0.41,-1.37%,6.54,9.38,1.57,2.50%,15.31%,16.55%,8.90%,4.90%,6.50%,48.30%,May 26 BMO,3.49%,0.10%,-0.65%,-,0.30%,6.90%,19.70%,13.50%,30.30%,7.60%,5.60%,0.00%,13.51%,225.30M,221.67M,2.35%,2.09,175.47,84.26 - 177.19,-7.82%,93.85%,49.34,1.01,2.48M,"2,498,244",-4.86%,6.36%,-1.66%,28.01%,64.94%,16.24%,0.70,5.37,3.67% 3.04%,161.13,163.34,1.37%
DOV,S&P 500,18.82B,1.14B,8.22B,30.51,3.61,2.00,1.52%,25000,Yes,Yes,2.20,16.76,14.52,1.67,2.29,4.32,36.52,47.78,0.90,1.40,0.76,0.67,6.93%,7.87,9.08,2.21,64.60%,7.57%,10.01%,19.30%,5.50%,6.30%,9.80%,Jul 21 BMO,4.32%,0.20%,-10.76%,95.10%,0.44%,11.00%,27.20%,16.50%,36.60%,18.10%,13.90%,25.20%,-14.11%,143.83M,143.17M,0.85%,1.24,153.23,116.66 - 184.04,-28.39%,12.98%,64.99,0.84,989.32K,"829,405",3.42%,8.23%,-4.49%,-22.43%,-19.12%,-27.42%,1.39,3.00,2.04% 2.20%,130.10,131.80,1.31%
DOW,DJIA S&P500,38.49B,6.62B,60.13B,25.70,-,2.80,5.35%,35700,Yes,Yes,2.50,5.85,7.56,-,0.64,2.04,-,6.10,1.10,1.70,0.77,0.75,2.22%,8.94,6.92,1.80,411.70%,-13.13%,-4.26%,7.80%,2.70%,28.50%,60.50%,Jul 21 BMO,-10.06%,0.10%,-12.00%,66.40%,0.23%,10.10%,36.40%,17.30%,19.00%,12.30%,10.40%,33.20%,-12.31%,734.60M,726.59M,2.05%,2.51,61.86,48.27 - 71.86,-27.22%,8.35%,46.00,1.03,5.95M,"6,119,833",1.75%,-0.44%,-22.46%,-8.60%,-15.47%,-7.79%,1.39,1.58,2.19% 2.47%,52.24,52.30,0.11%
DPZ,S&P 500,14.28B,469.50M,4.42B,-116.39,7.61,4.40,1.13%,13500,Yes,Yes,2.50,30.34,25.88,3.22,3.23,-,51.26,51.74,1.30,1.50,-,-,-2.30%,12.85,15.06,3.04,9.30%,18.34%,9.41%,25.80%,12.00%,3.20%,-7.70%,Jul 21 BMO,2.28%,0.50%,-7.35%,98.62%,0.59%,27.70%,-11.20%,77.30%,37.30%,16.90%,10.60%,31.40%,-10.22%,35.91M,33.69M,5.61%,3.24,428.09,321.15 - 567.57,-31.32%,21.38%,46.86,1.19,582.18K,"693,767",-3.90%,-0.23%,4.53%,-8.00%,-25.69%,-30.92%,0.63,10.75,3.08% 2.62%,392.99,389.82,-0.81%
DRE,S&P 500,23.77B,1.02B,1.09B,16.27,0.02,1.12,1.79%,340,Yes,Yes,-,23.30,65.74,3.88,21.71,3.84,2583.94,-,-,-,0.59,0.59,8.46%,2.68,0.95,0.20,179.20%,-26.64%,6.00%,21.90%,8.60%,-3.80%,206.90%,Jul 18 BMO,14.25%,0.10%,0.00%,98.50%,-0.04%,10.00%,17.30%,9.60%,72.50%,-,93.30%,39.80%,10.11%,382.71M,-,-,2.47,62.83,47.12 - 66.22,-5.69%,32.53%,72.90,0.55,3.47M,"1,897,386",5.67%,12.32%,5.45%,10.61%,22.40%,-4.86%,0.68,1.63,2.08% 2.53%,60.06,62.45,3.98%
DRI,S&P 500,15.83B,954.70M,9.63B,18.00,4.44,4.84,3.82%,156883,Yes,Yes,2.10,17.06,14.76,1.94,1.64,7.03,28.51,34.40,0.60,0.70,0.81,0.80,7.80%,7.42,8.58,1.55,54.20%,11.37%,8.81%,14.10%,6.10%,41.30%,97.60%,Jun 23 BMO,6.35%,0.30%,3.12%,91.90%,0.23%,9.90%,40.00%,24.80%,20.70%,11.90%,10.80%,54.80%,-6.06%,127.00M,124.22M,3.88%,3.84,138.09,110.96 - 164.28,-22.95%,14.08%,62.48,1.35,1.26M,"1,692,406",4.02%,9.97%,-3.16%,-7.57%,-14.59%,-15.97%,1.32,3.89,3.57% 2.90%,121.47,126.58,4.21%
DTE,S&P 500,24.58B,790.00M,15.76B,45.92,0.79,3.54,2.74%,10300,Yes,Yes,2.30,31.73,20.58,9.12,1.56,2.81,163.88,-,0.50,0.60,2.09,1.76,3.36%,4.07,6.28,1.04,-24.90%,4.96%,3.48%,-3.30%,7.10%,21.10%,-1.00%,Jul 28 BMO,2.29%,0.20%,-1.78%,74.50%,-0.21%,-,-,4.60%,-,-,-,-,5.34%,193.00M,192.49M,1.22%,2.32,137.97,108.22 - 140.23,-7.86%,19.40%,61.35,1.26,1.01M,"1,274,655",6.33%,3.18%,-3.84%,9.33%,9.79%,8.09%,0.61,2.38,1.90% 1.88%,126.64,129.21,2.03%
DUK,S&P 500,82.73B,3.66B,26.08B,61.67,-,4.02,3.69%,27605,Yes,Yes,2.40,22.90,18.91,3.90,3.17,1.77,-,-,0.50,0.70,1.46,1.31,2.36%,4.76,5.76,1.07,188.40%,5.65%,5.87%,5.90%,2.00%,16.00%,-14.30%,Aug 04 BMO,1.70%,0.10%,-5.34%,63.50%,-0.21%,2.20%,7.80%,4.50%,71.10%,19.90%,14.10%,82.20%,3.48%,770.00M,769.13M,1.09%,2.96,113.83,95.48 - 116.33,-6.34%,14.11%,58.32,0.82,2.82M,"2,322,728",5.23%,3.07%,-3.66%,6.87%,3.12%,3.86%,0.33,2.00,1.54% 1.87%,106.52,108.95,2.28%
DVA,S&P 500,7.81B,903.20M,11.62B,8.76,3.71,-,-,69000,Yes,Yes,3.00,9.93,8.28,1.20,0.67,9.52,22.50,5.28,1.20,1.30,10.52,10.30,-0.86%,8.40,10.08,2.09,39.30%,28.01%,8.25%,11.90%,1.60%,-0.10%,-22.60%,Aug 01 AMC,-5.66%,0.70%,2.66%,88.90%,0.20%,5.20%,89.70%,15.40%,30.70%,14.60%,7.80%,0.00%,-20.36%,96.34M,91.84M,5.43%,5.03,107.38,74.97 - 136.48,-38.88%,11.26%,44.40,1.78,990.90K,"1,765,993",-3.20%,2.60%,-22.80%,-23.82%,-29.81%,-26.68%,1.20,3.37,3.41% 3.17%,86.92,83.41,-4.04%
DVN,S&P 500,40.57B,3.54B,13.97B,14.18,3.91,3.60,5.96%,1600,Yes,Yes,2.00,11.31,6.35,0.41,2.90,4.26,15.46,8.37,1.30,1.30,0.72,0.72,10.34%,5.34,9.51,2.38,161.70%,5.33%,27.50%,32.10%,3.40%,86.00%,367.80%,Aug 01 AMC,-4.88%,0.80%,-4.21%,85.10%,0.45%,16.90%,39.50%,19.70%,49.80%,31.80%,25.40%,51.40%,11.91%,656.00M,644.00M,2.24%,1.14,78.34,23.74 - 79.40,-23.97%,154.29%,55.71,0.60,12.65M,"7,604,203",7.42%,1.53%,3.96%,16.57%,135.07%,37.05%,2.59,3.18,4.84% 4.99%,59.58,60.37,1.33%
DXC,S&P 500,7.33B,718.00M,16.27B,20.81,11.53,-,-,130000,Yes,Yes,2.60,11.13,6.42,0.68,0.45,1.52,2.74,5.64,1.10,1.10,0.98,0.80,5.66%,2.84,4.93,0.82,562.80%,25.20%,16.35%,39.00%,16.40%,-8.60%,167.80%,Aug 03 AMC,1.41%,0.60%,-3.73%,93.80%,-0.22%,3.50%,14.60%,8.80%,22.00%,7.90%,4.40%,0.00%,-0.94%,242.76M,227.90M,3.70%,4.68,37.70,27.28 - 44.18,-28.36%,16.02%,56.92,0.44,1.80M,"796,173",1.22%,1.09%,9.71%,7.95%,-20.38%,-1.68%,2.08,1.03,2.75% 3.09%,31.69,31.65,-0.13%
DXCM,S&P 500,34.23B,211.70M,2.57B,5.63,6.83,-,-,6300,Yes,Yes,1.60,170.23,74.29,5.51,13.31,15.45,12.73,361.84,4.80,5.30,0.93,0.93,9.10%,0.51,1.17,0.19,-69.50%,42.98%,30.90%,31.70%,33.70%,24.50%,68.00%,Jul 28 AMC,13.72%,0.40%,-1.43%,99.00%,0.17%,4.40%,10.10%,6.00%,68.50%,10.10%,8.20%,0.00%,-21.89%,388.80M,97.63M,12.03%,3.29,119.53,66.89 - 164.86,-47.23%,30.04%,64.84,1.05,3.57M,"3,730,954",3.57%,16.45%,-15.75%,-12.09%,-24.34%,-35.20%,1.05,3.20,3.61% 4.11%,85.80,86.99,1.39%
EA,S&P 500,37.21B,789.00M,6.99B,26.85,10.96,0.76,0.57%,12900,Yes,Yes,1.90,48.36,16.38,3.72,5.32,4.96,12.15,24.51,1.20,1.20,0.00,0.25,6.05%,2.75,8.13,0.28,-3.80%,12.96%,13.01%,-2.20%,7.60%,35.60%,204.40%,Aug 02 AMC,2.42%,0.20%,-16.80%,92.70%,-0.56%,5.90%,10.20%,8.80%,73.60%,16.10%,11.30%,24.50%,2.42%,284.00M,277.87M,1.61%,1.69,152.39,109.24 - 147.76,-9.87%,21.92%,66.27,0.54,2.64M,"1,438,431",2.28%,8.38%,9.87%,2.46%,-7.23%,0.97%,0.84,2.70,1.95% 2.00%,132.18,133.18,0.76%
EBAY,S&P 500,26.97B,-1655.00M,10.27B,12.02,9.92,0.88,1.83%,10800,Yes,Yes,2.50,-,11.01,-,2.63,4.01,4.86,20.57,1.50,1.50,1.18,0.93,9.09%,-2.89,4.38,0.89,-89.00%,9.70%,8.83%,-43.10%,2.30%,-5.90%,-378.30%,Aug 03 AMC,7.76%,0.20%,-5.40%,92.20%,-0.05%,42.10%,114.20%,14.70%,73.40%,27.00%,-,4.40%,-16.68%,587.00M,554.97M,3.74%,2.87,56.36,40.52 - 81.19,-40.62%,18.98%,64.48,0.68,7.22M,"4,884,135",3.34%,13.04%,-7.40%,-16.46%,-33.86%,-27.50%,1.20,1.40,2.56% 2.73%,47.18,48.21,2.18%
ECL,S&P 500,46.65B,1.11B,13.11B,24.74,0.35,2.04,1.25%,47000,Yes,Yes,2.60,42.50,27.08,3.22,3.56,6.59,469.35,69.28,0.80,1.30,1.24,1.17,3.46%,3.83,6.02,1.09,15.90%,20.22%,13.21%,-1.20%,-0.60%,13.20%,-11.00%,Jul 26 BMO,2.84%,0.40%,0.41%,90.00%,0.13%,5.60%,15.90%,7.90%,40.10%,11.30%,8.40%,50.40%,-14.11%,286.20M,282.72M,0.96%,2.20,185.88,143.82 - 238.93,-31.79%,13.32%,56.76,0.93,1.23M,"1,145,145",-0.23%,6.31%,-4.44%,-12.03%,-25.63%,-30.53%,1.03,4.61,2.80% 2.74%,160.64,162.97,1.45%
ED,S&P 500,34.28B,1.53B,14.06B,57.55,0.31,3.16,3.21%,13871,Yes,Yes,3.60,22.76,20.33,4.41,2.44,1.71,317.41,18.74,0.90,1.00,1.19,1.11,5.64%,4.33,4.84,0.60,17.50%,7.48%,5.16%,-1.40%,2.50%,10.40%,38.80%,Aug 04 AMC,4.56%,0.10%,-17.34%,67.40%,0.11%,2.40%,7.60%,4.90%,80.60%,17.70%,10.90%,71.80%,12.40%,354.10M,353.86M,2.14%,4.17,88.20,71.52 - 101.12,-2.61%,37.70%,66.37,0.80,1.82M,"1,452,654",8.43%,4.63%,3.96%,21.01%,32.03%,15.42%,0.21,1.90,1.91% 2.06%,95.69,98.48,2.92%
EFX,S&P 500,25.36B,749.90M,5.16B,31.09,1.83,1.56,0.75%,12700,Yes,Yes,2.00,34.19,23.55,3.20,4.92,6.67,113.42,209.77,0.50,0.50,1.49,1.07,8.12%,6.07,8.81,1.69,42.20%,13.51%,10.70%,8.30%,9.40%,6.60%,-6.60%,Jul 20 AMC,8.80%,0.40%,-6.54%,96.60%,1.81%,6.70%,20.30%,10.60%,59.10%,22.50%,14.50%,25.40%,-11.26%,122.40M,121.82M,1.81%,2.45,225.05,169.25 - 300.11,-30.86%,22.60%,63.62,0.94,897.33K,"843,324",3.46%,15.62%,3.54%,-8.43%,-19.86%,-29.13%,1.49,6.00,3.16% 2.90%,198.39,207.50,4.59%
EIX,S&P 500,24.73B,584.00M,15.91B,36.10,0.61,2.80,4.28%,13003,Yes,Yes,2.20,42.64,13.49,8.53,1.55,1.81,107.07,-,0.60,0.60,2.05,1.82,5.31%,1.54,4.86,0.92,1.10%,7.82%,5.00%,-12.70%,4.70%,34.10%,-67.70%,Jul 28 AMC,1.94%,0.10%,0.13%,89.40%,-0.07%,0.80%,4.40%,3.90%,65.00%,8.40%,3.80%,174.90%,0.76%,381.00M,380.86M,1.30%,2.74,73.40,54.14 - 73.32,-10.68%,20.96%,63.36,0.91,1.80M,"1,644,672",7.78%,4.97%,-6.99%,5.44%,15.26%,-4.04%,0.65,1.38,1.93% 2.08%,63.39,65.49,3.31%
EL,S&P 500,97.87B,3.36B,18.11B,17.12,10.63,2.40,0.88%,62000,Yes,Yes,2.00,29.65,33.76,2.39,5.40,15.85,25.51,89.13,1.20,1.80,0.89,0.84,6.90%,9.15,8.04,0.33,318.10%,11.99%,12.40%,21.40%,7.60%,9.90%,24.20%,May 03 BMO,8.24%,0.10%,-71.64%,90.70%,-0.04%,15.40%,54.80%,18.60%,76.50%,18.40%,18.50%,24.30%,-7.73%,359.20M,229.97M,1.48%,2.11,307.17,225.39 - 374.20,-27.50%,20.36%,62.78,0.90,1.61M,"1,449,682",3.32%,5.41%,4.49%,-7.27%,-18.01%,-26.72%,0.98,8.20,3.26% 2.80%,263.42,271.29,2.99%
EMN,S&P 500,12.27B,818.00M,10.78B,45.68,3.78,3.04,3.19%,14000,Yes,Yes,2.30,15.67,9.19,1.76,1.14,2.08,25.20,25.09,1.00,1.60,0.91,0.74,4.92%,6.07,10.35,2.70,78.50%,5.75%,8.89%,1.70%,3.10%,12.70%,-9.70%,Jul 28 AMC,-1.98%,0.40%,-3.66%,86.30%,-0.07%,5.10%,13.80%,9.80%,22.70%,11.40%,7.60%,45.60%,-12.74%,129.00M,128.27M,1.62%,1.98,116.95,84.95 - 129.48,-26.50%,12.02%,55.86,1.35,1.05M,"1,417,039",2.19%,3.82%,-9.48%,-20.11%,-14.36%,-21.30%,1.47,2.69,2.31% 2.73%,94.99,95.16,0.18%
EMR,S&P 500,52.88B,2.87B,18.91B,17.82,11.58,2.06,2.33%,86700,Yes,Yes,2.20,18.47,16.14,1.61,2.80,4.96,7.63,47.05,1.40,1.70,1.04,0.78,9.01%,4.79,5.47,1.30,18.10%,8.35%,11.44%,9.30%,4.70%,8.10%,21.40%,Aug 09 BMO,5.83%,0.10%,-0.76%,76.10%,-0.01%,10.90%,28.70%,15.00%,41.00%,17.40%,15.20%,42.40%,-3.13%,593.30M,589.63M,0.78%,1.53,100.50,76.16 - 105.99,-16.61%,16.06%,67.80,0.98,3.00M,"2,954,955",5.60%,8.43%,-2.45%,-2.42%,-10.14%,-4.93%,1.40,2.04,2.22% 2.09%,86.36,88.39,2.35%
ENPH,S&P 500,38.46B,165.60M,1.52B,2.46,7.58,-,-,2260,Yes,Yes,2.00,236.16,63.82,11.39,25.28,111.46,36.17,118.75,3.20,3.40,3.88,3.62,32.91%,1.16,4.30,0.84,7.80%,22.60%,20.74%,22.50%,33.80%,46.20%,65.50%,Jul 26 AMC,41.93%,1.30%,-19.93%,74.20%,0.48%,7.60%,33.20%,12.50%,40.00%,14.20%,10.90%,0.00%,47.67%,134.33M,132.25M,3.40%,1.59,233.25,113.40 - 282.46,-2.93%,141.78%,75.09,3.32,2.83M,"9,400,393",24.75%,43.81%,65.46%,125.20%,51.13%,49.87%,1.34,16.54,7.29% 7.04%,254.77,274.18,7.62%
EOG,S&P 500,64.49B,4.38B,18.88B,37.01,6.68,3.00,2.79%,2800,Yes,Yes,2.10,14.33,6.49,0.84,3.42,2.90,16.09,16.04,1.30,1.40,0.24,0.18,3.39%,7.49,16.54,2.95,864.80%,3.12%,17.02%,43.20%,20.10%,7.00%,-42.70%,Aug 05 BMO,-9.00%,0.30%,-1.87%,89.30%,0.25%,11.60%,20.30%,17.70%,61.50%,30.30%,23.20%,30.90%,1.05%,585.09M,583.34M,1.21%,1.58,147.56,60.03 - 145.98,-26.44%,78.89%,49.28,0.62,4.47M,"2,762,544",3.70%,-9.23%,-3.50%,2.12%,53.29%,23.62%,1.64,5.41,4.66% 4.40%,108.19,107.39,-0.74%
EPAM,S&P 500,20.05B,462.30M,4.15B,44.84,-,-,-,58824,Yes,Yes,1.70,43.84,27.93,2.35,4.83,7.64,-,52.21,3.30,3.30,0.02,0.01,9.48%,7.82,12.27,1.72,45.70%,44.03%,18.65%,34.30%,26.50%,50.10%,-18.00%,Aug 04 BMO,8.88%,2.40%,-0.14%,92.50%,-0.01%,14.00%,19.30%,19.40%,33.80%,13.60%,11.10%,0.00%,-20.86%,56.91M,55.35M,1.94%,1.58,448.69,168.59 - 725.40,-52.74%,103.32%,61.19,0.79,679.00K,"534,445",3.59%,10.04%,28.47%,-21.30%,-38.01%,-48.72%,1.76,15.45,4.33% 4.24%,325.63,342.79,5.27%
